[Tue Nov 23 18:56:16.416017 2021] [mpm_winnt:notice] [pid 4404:tid 808] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Tue Nov 23 18:56:16.416017 2021] [mpm_winnt:notice] [pid 4404:tid 808] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Tue Nov 23 19:42:08.410207 2021] [:error] [pid 476:tid 1400] [client ::1:64369] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 65 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:42:08.410207 2021] [:error] [pid 476:tid 1400] [client ::1:64369] PHP Notice:  Undefined variable: n in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 41, referer: http://localhost:8080/register.php
[Tue Nov 23 19:43:09.525737 2021] [:error] [pid 476:tid 1376] [client ::1:64390] PHP Notice:  Undefined index: IMAGE in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_login.php on line 31, referer: http://localhost:8080/login.php
[Tue Nov 23 19:43:09.548881 2021] [:error] [pid 476:tid 1376] [client ::1:64390] PHP Notice:  Undefined index: IMAGE in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\panel-admin.php on line 47, referer: http://localhost:8080/login.php
[Tue Nov 23 19:43:09.548881 2021] [:error] [pid 476:tid 1376] [client ::1:64390] PHP Notice:  Undefined index: IMAGE in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\panel-admin.php on line 47, referer: http://localhost:8080/login.php
[Tue Nov 23 19:43:09.548881 2021] [:error] [pid 476:tid 1376] [client ::1:64390] PHP Notice:  Undefined index: IMAGE in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\panel-admin.php on line 47, referer: http://localhost:8080/login.php
[Tue Nov 23 19:43:09.548881 2021] [:error] [pid 476:tid 1376] [client ::1:64390] PHP Notice:  Undefined index: IMAGE in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\panel-admin.php on line 47, referer: http://localhost:8080/login.php
[Tue Nov 23 19:43:40.009599 2021] [:error] [pid 476:tid 1400] [client ::1:64396] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud_user.php on line 5, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:43:45.309202 2021] [:error] [pid 476:tid 1400] [client ::1:64396] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud_user.php on line 5, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:43:48.648099 2021] [:error] [pid 476:tid 1400] [client ::1:64396] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud.php on line 13, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:45:04.697883 2021] [:error] [pid 476:tid 1400] [client ::1:64413] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud_user.php on line 5, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:45:25.421917 2021] [:error] [pid 476:tid 1400] [client ::1:64414] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud.php on line 13, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:45:49.689191 2021] [:error] [pid 476:tid 1400] [client ::1:64418] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud.php on line 13, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:46:05.104048 2021] [:error] [pid 476:tid 1400] [client ::1:64424] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud.php on line 13, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:46:11.960776 2021] [:error] [pid 476:tid 1400] [client ::1:64424] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\crud_user.php on line 5, referer: http://localhost:8080/content/panel-admin.php
[Tue Nov 23 19:46:29.050037 2021] [:error] [pid 476:tid 1400] [client ::1:64428] PHP Notice:  A session had already been started - ignoring session_start() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\content\\contr_usr_crud.php on line 6, referer: http://localhost:8080/content/crud_user.php?id=dmjqws
