::1 - - [17/Dec/2021:16:02:36 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 200 2951
::1 - - [17/Dec/2021:16:02:53 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 2573
::1 - - [17/Dec/2021:16:02:53 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:02:53 +0100] "GET /styles/assets/web/fondo2.jpg HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:03:32 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:03:58 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 2527
::1 - - [17/Dec/2021:16:03:58 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:03:58 +0100] "GET /styles/css/menu.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:04:10 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 2526
::1 - - [17/Dec/2021:16:04:10 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:04:27 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:16:04:33 +0100] "GET /content/crud.php?id=35 HTTP/1.1" 200 1618
::1 - - [17/Dec/2021:16:04:33 +0100] "GET /content/styles/css/menu.css HTTP/1.1" 404 225
::1 - - [17/Dec/2021:16:08:29 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:16:08:31 +0100] "GET /content/crud_user.php?id=verfim HTTP/1.1" 200 2521
::1 - - [17/Dec/2021:16:08:31 +0100] "GET /styles/css/edit_user.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:08:31 +0100] "GET /styles/css/menu.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:08:31 +0100] "GET /styles/assets/web/fondo2.jpg HTTP/1.1" 304 -
::1 - - [17/Dec/2021:16:09:24 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:16:09:27 +0100] "GET /content/crud.php?id=35 HTTP/1.1" 200 3644
::1 - - [17/Dec/2021:16:09:27 +0100] "GET /styles/css/edit_product.css HTTP/1.1" 200 2951
::1 - - [17/Dec/2021:16:09:27 +0100] "GET /content/styles/css/menu.css HTTP/1.1" 404 225
::1 - - [17/Dec/2021:16:09:41 +0100] "GET /content/crud.php?id=35 HTTP/1.1" 200 2979
::1 - - [17/Dec/2021:16:09:42 +0100] "GET /content/styles/css/menu.css HTTP/1.1" 404 225
